text,label
"As of March 13th , 2014 , the booklet had been downloaded over 18,300 times and counting .",noHate
Click below for a FREE download of a colorfully illustrated 132 page e-book on the Zionist-engineered INTENTIONAL destruction of Western civilization .,hate
Click on the `` DOWNLOAD ( 7.42 MB ) '' green banner link .,noHate
"Booklet updated on Feb. 14th , 2014 .",noHate
PDF file : http://www.mediafire.com/download/7p3p3goadvvqvsf/WNDebateBooklet_2-14-14.pdfMSWordfile:http://www.mediafire.com/download/psezkkk4d6a3wt1/WNDebateBooklet _ 2-14-14.docx Watch the 10 hour video version of `` The Zionist Attack on Western Civilization '' @ http://trutube.tv/video/14247/The-Zionist-Attack-on-Western-Civilization-Pages-1-33-Part-1-of-4-Banned-from-YouTubeNotepadPromotionalYouTubeComment:http://www.mediafire.com/download/96fg6ft02lyfruz/Booklet _ White _ YT _ Comment _ ( Hyperlinked ) .txt http://www.mediafire.com/download/zcn3wozjbwnezms/Booklet-White-YT-Comment- ( Hyperlinked-Back-Up % 5D.txt http://www.mediafire.com/download/9uyudq1yuxu1dur/Booklet+Comment+%28Firefox%29.txt2minutepromotionalBOOKLETvideo@http://www.youtube.com/watch ? v = _ 8hg254ALpM Are you interested in helping spread the booklet download link across the world ?,noHate
"She may or may not be a Jew but she 's certainly stupid , she seems to think the Blacks wo n't kill her alongside every other White they can get their dirty hands on , what a muppet !",hate
I hope there is room for one more as i am very excited about this .,noHate
I believe this can be higher since I 've read reports that especially whites in the Free State were not counted in the latest census .,noHate
Thank you for posting your story .,noHate
"I 've always considered teaching as one of the professions I would like to get into , but not in a neighbourhood like that ... never. kids like that disgust me .",hate
And the sad thing is the white students at those schools will act like that too .,hate
"I guess I 'll just stick to homeschooling my kids , when and if I have them ...",noHate
They take underwater basket weaving courses and they have no worthwhile skills on account of angry still my favorite comment .,noHate
Dr. Albert Schweitzer 's two-hour documentary from 1958 was shown in movie theaters everywhere .,noHate
Their gods often had pale skin and blue eyes but I suppose literacy is n't valued highly by their cultural intelligencia .,hate
When the girl starts talking the guy in the middles lips start moving .,noHate
"He was checking her lines , bad actors ca n't help themselves from doing this .",noHate
Free North Carolina : Peterson 's particulars VikingInMe,noHate
"So according to section C , what few jobs there are in our areas will be given to these people as well Thanks for posting this .",noHate
Greece need a man like Adolf Hitler and now is the perfect time to start a national political movement to free Your country from the zionist bankers,hate
The image below is for the First Week of March 2011. freeman in court - judge bows to Sovereign - Canada YouTube - freeman in court - judge bows to Sovereign - Canada,noHate
He is a pathetic little chimp .,hate
com/watch ? v = kBD6Gm6VoDM Then watch 8 min. Obama at AIPAC @ youtube .,noHate
com/watch ? v = KrdyCxpB4fs And then the entire Myron Fagan video @ youtube .,noHate
Please contribute and/or donate .,noHate
Try El Paso Texas Soo much mudd invasion that the river is the same color as those playing/crossing in it .. year round !,hate
"Folk , Faith , Family Hail Victory !!",noHate
"Here is a video of the event that is worth watching just to see a beautiful White lady screaming `` scum , scum , scum , f * * * ing scum !!! '' at the muslim filth .",hate
Protesters Clash during Military Parade in Barking,noHate
Y' all have a nice day .,noHate
"I suppose the concept of a male cow and a female cow producing MORE cows , and the repeating process is too much for them to understand .",hate
May they all get mad cow disease .,hate
"Yeah, but no one will ever hear of this .",noHate
Instead we are left to shed a tear for the black kids killed in a church bombing 40 years ago .,noHate
I guess Mr. Pena forgot about the black speed skater who won the gold and is being glorified on NBC every 5 minutes .,noHate
